event_id,channel,weight,source,l1_pt,l1_eta,l1_phi,l1_mass,l1_charge,l1_flavor,l2_pt,l2_eta,l2_phi,l2_mass,l2_charge,l2_flavor
200000,mumu,1.0,synthetic,20.245517766394286,-1.1558503887614162,-0.4616021634155894,0.10566,-1,mu,19.768526728215267,0.5231346423872681,3.0820868327419415,0.10566,1,mu
200001,ee,1.0,synthetic,30.969445705075238,1.0259008177945568,-1.4827599345558429,0.000511,-1,e,30.168035087242583,-0.7656629598192878,1.3722050166095399,0.000511,1,e
200002,ee,1.0,synthetic,31.701604536396342,0.01856751123643773,0.1174559646001029,0.000511,-1,e,31.094549353019744,-0.25889525704416033,3.1411950892449334,0.000511,1,e
200003,ee,1.0,synthetic,16.08043248334534,-1.0038408977979343,1.8208725319258614,0.000511,-1,e,20.836921009321156,0.4084261207995202,-1.2817608026031633,0.000511,1,e
200004,ee,1.0,synthetic,56.4004531612474,-0.9180277691739813,0.987417929221148,0.000511,-1,e,57.18822862570028,0.7199023546803399,-2.0870762573829778,0.000511,1,e
200005,mumu,1.0,synthetic,46.706731900744636,0.37772517512580106,0.17293994802042567,0.10566,-1,mu,42.1758408034314,-0.5819788187199271,-2.9239991562893346,0.10566,1,mu
200006,ee,1.0,synthetic,47.48422305995376,-0.3228510406770596,1.5763502164034473,0.000511,-1,e,52.79410653419378,1.0663530255385416,-1.7379919963885995,0.000511,1,e
200007,mumu,1.0,synthetic,9.881141793158998,0.8080273604335128,-1.274828511241261,0.10566,-1,mu,11.355001307923867,-2.0678240012798055,1.7189030637769953,0.10566,1,mu
200008,ee,1.0,synthetic,47.94729607780428,-0.032575797803299444,1.2440784940952334,0.000511,-1,e,59.4459418288694,0.29883946367525466,-1.9543955771355255,0.000511,1,e
200009,mumu,1.0,synthetic,1.764792287749654,4.0054093210872,2.728237477375587,0.10566,-1,mu,7.160538695253947,-2.576363518913425,1.2645151923121158,0.10566,1,mu
200010,ee,1.0,synthetic,15.463260176627356,-1.2191215768484802,-2.0016527664219037,0.000511,-1,e,16.79805293845723,0.5995143452404634,0.9973675765952952,0.000511,1,e
200011,mumu,1.0,synthetic,33.34638044812886,1.1563662413410953,-3.031763210052914,0.10566,-1,mu,35.62751214221032,-0.18151150302383054,0.0008025480526590395,0.10566,1,mu
200012,ee,1.0,synthetic,14.814468505361582,1.04918483370011,3.1307733756574248,0.000511,-1,e,16.29377533857141,-1.3296427511416962,-0.19695327835460247,0.000511,1,e
200013,ee,1.0,synthetic,20.267227442763872,0.6826516259539229,-1.3545860970328498,0.000511,-1,e,17.63995347269441,-0.8786558649230307,1.8428422942803193,0.000511,1,e
200014,mumu,1.0,synthetic,53.22655363405576,-0.03495334192092832,0.4068787140792144,0.10566,-1,mu,56.7573410676466,-0.19458521860629385,-2.852136396067113,0.10566,1,mu
200015,ee,1.0,synthetic,37.741965229053086,-0.38346450968297663,-2.6406817514844003,0.000511,-1,e,42.14657359043749,0.14383577196599812,0.20952907510356542,0.000511,1,e
200016,ee,1.0,synthetic,21.97348036228674,-1.1869663224639337,0.8252573545079841,0.000511,-1,e,21.741438193084768,0.3136863534346936,-2.334253736434641,0.000511,1,e
200017,ee,1.0,synthetic,19.591478031896894,-0.6395318778155488,0.7868208516684949,0.000511,-1,e,17.886150887310993,0.621250668828151,-2.4250738575466215,0.000511,1,e
200018,ee,1.0,synthetic,26.832950008323735,-0.8550307267171734,1.3830451555317356,0.000511,-1,e,30.917494970644984,0.4153125631992491,-1.6484911942962475,0.000511,1,e
200019,ee,1.0,synthetic,21.574351287590808,1.002654375044292,3.069190727572917,0.000511,-1,e,20.025862806247986,0.09193550476618999,-0.1101173538970932,0.000511,1,e
200020,mumu,1.0,synthetic,41.463635258317915,-0.526226221270839,0.814707500959137,0.10566,-1,mu,33.76716906415124,0.1953996746956737,-2.4138618948782313,0.10566,1,mu
200021,mumu,1.0,synthetic,38.111707857267305,-0.5064543071829865,0.3078265599850675,0.10566,-1,mu,45.15969483765655,0.14423305444686604,-2.7569296963613543,0.10566,1,mu
200022,mumu,1.0,synthetic,35.00898921461571,0.0632126865194407,1.9056836607625645,0.10566,-1,mu,34.69114072850128,-0.5510666099581989,-1.3495570082762243,0.10566,1,mu
200023,mumu,1.0,synthetic,42.47633263208649,0.35832084542530274,-2.0745528320855433,0.10566,-1,mu,38.776714191976716,-0.6597373312733451,1.1728416104539667,0.10566,1,mu
200024,mumu,1.0,synthetic,33.85194681945654,0.4336475764252893,2.082900742615447,0.10566,-1,mu,36.563608739178505,0.4861810136391885,-1.177361289506104,0.10566,1,mu
200025,mumu,1.0,synthetic,11.496820586722063,-2.0238847818928853,-1.980394235894346,0.10566,-1,mu,13.905019813674093,1.5606600691508359,0.6628370200422055,0.10566,1,mu
200026,ee,1.0,synthetic,33.3605199777389,-0.5290820591752575,0.24293505823917047,0.000511,-1,e,33.03926492977753,0.9425771075507696,-2.741573270070991,0.000511,1,e
